1673175544633 | cSendClientID_Packet | N/A | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673175548464 | disconnect | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1 | undefined
1673175600367 | cSendClientID_Packet | N/A | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673175603220 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673175649857 | disconnect | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1 | undefined
1673192758939 | cSendClientID_Packet | N/A | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673192762391 | cRequestURL_Packet |  | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673192859463 | disconnect | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1 | undefined
1673192989459 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673193202244 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673193250385 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673193261735 | cSendClientID_Packet | N/A | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673193326545 | disconnect | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1 | undefined
1673193336797 | cSendClientID_Packet | N/A | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673193366634 | cRequestURL_Packet | www.bbc.com | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673193380619 | disconnect | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1 | undefined
1673193454967 | cSendClientID_Packet | N/A | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673193507080 | cRequestURL_Packet | www.bbc.com | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673193516108 | disconnect | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1 | undefined
1673193581079 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673193595312 | cSendClientID_Packet | N/A | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673193605381 | disconnect | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1 | undefined
1673193608624 | cSendClientID_Packet | N/A | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673193609752 | disconnect | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1 | undefined
1673193753588 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673193774608 | cSendClientID_Packet | N/A | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673193819264 | disconnect | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1 | undefined
1673193915087 | cSendClientID_Packet | N/A | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673193932337 | cRequestURL_Packet | www.bbc.com | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1
1673193959642 | disconnect | s6AVvHSL08ts68kXyxhP | ::ffff:172.31.128.1 | undefined
1673193988139 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673194010652 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673194053143 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673194194834 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673194234385 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673194247310 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673194304083 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673194345763 | disconnect | - | ::ffff:172.31.128.1 | undefined
1673194442037 | disconnect | - | ::ffff:172.31.128.1 | undefined
